Category: All categories

Week,Pho: (United States)
2019-08-18,60
2019-08-25,59
2019-09-01,62
2019-09-08,61
2019-09-15,61
2019-09-22,64
2019-09-29,68
2019-10-06,72
2019-10-13,71
2019-10-20,71
2019-10-27,75
2019-11-03,75
2019-11-10,77
2019-11-17,72
2019-11-24,73
2019-12-01,74
2019-12-08,71
2019-12-15,75
2019-12-22,94
2019-12-29,100
2020-01-05,77
2020-01-12,74
2020-01-19,76
2020-01-26,67
2020-02-02,67
2020-02-09,71
2020-02-16,71
2020-02-23,64
2020-03-01,63
2020-03-08,58
2020-03-15,47
2020-03-22,44
2020-03-29,46
2020-04-05,48
2020-04-12,50
2020-04-19,51
2020-04-26,51
2020-05-03,51
2020-05-10,58
2020-05-17,57
2020-05-24,59
2020-05-31,58
2020-06-07,63
2020-06-14,63
2020-06-21,62
2020-06-28,63
2020-07-05,62
2020-07-12,62
2020-07-19,61
2020-07-26,64
2020-08-02,65
2020-08-09,63
