Category: All categories

Week,Ramen: (United States)
2019-07-21,73
2019-07-28,59
2019-08-04,75
2019-08-11,79
2019-08-18,67
2019-08-25,67
2019-09-01,90
2019-09-08,84
2019-09-15,85
2019-09-22,93
2019-09-29,82
2019-10-06,67
2019-10-13,74
2019-10-20,76
2019-10-27,73
2019-11-03,100
2019-11-10,77
2019-11-17,90
2019-11-24,79
2019-12-01,93
2019-12-08,76
2019-12-15,76
2019-12-22,59
2019-12-29,100
2020-01-05,93
2020-01-12,75
2020-01-19,94
2020-01-26,82
2020-02-02,68
2020-02-09,73
2020-02-16,84
2020-02-23,79
2020-03-01,78
2020-03-08,91
2020-03-15,86
2020-03-22,88
2020-03-29,74
2020-04-05,80
2020-04-12,64
2020-04-19,94
2020-04-26,82
2020-05-03,69
2020-05-10,62
2020-05-17,70
2020-05-24,57
2020-05-31,59
2020-06-07,70
2020-06-14,65
2020-06-21,43
2020-06-28,77
2020-07-05,75
2020-07-12,71
2020-07-19,82
